trade_id,status,symbol,buy_date,sell_date,holding_days,buy_shares,sell_shares,sell_count,buy_price,average_sell_price,buy_value,sell_value,gross_pnl,cost,net_pnl,net_pnl_display,net_return_pct,exit_reasons
97,closed,603958,2026-05-08,2026-05-27,19,1000.0,1000.0,1,23.21,22.25,23210.0,22250.0,-960.0,45.46,-1005.46,-1005.46,-0.043276843793862325,break_bbi
98,closed,000810,2026-05-14,2026-05-26,12,78900.0,78900.0,1,12.61,11.97,994929.0,944433.0,-50496.0,1939.362,-52435.361999999994,-52435.361999999994,-0.05264996700365455,break_bbi
99,closed,000829,2026-05-14,2026-05-15,1,5700.0,5700.0,1,11.02,10.4,62814.0,59280.0,-3534.0,122.094,-3656.094,-3656.094,-0.05814693473495652,break_bbi
100,closed,002361,2026-05-15,2026-05-21,6,3200.0,3200.0,1,18.35,17.3,58720.00000000001,55360.0,-3360.0000000000073,114.08000000000001,-3474.080000000007,-3474.080000000007,-0.05910438335506467,break_bbi
101,closed,300067,2026-05-18,2026-05-27,9,100.0,100.0,1,6.87,6.04,687.0,604.0,-83.0,1.291,-84.291,-84.291,-0.12257175139271208,break_bbi
102,closed,600830,2026-05-21,2026-05-22,1,5600.0,5600.0,1,9.76,9.21,54656.0,51576.00000000001,-3079.9999999999927,106.232,-3186.2319999999927,-3186.2319999999927,-0.05823786868868822,break_bbi
103,closed,300857,2026-05-22,2026-06-05,14,100.0,100.0,1,265.0,228.47,26500.0,22847.0,-3653.0,49.347,-3702.347,-3702.347,-0.13957163591125857,break_bbi
104,closed,002730,2026-05-22,2026-06-08,17,800.0,800.0,1,30.48,27.7,24384.0,22160.0,-2224.0,46.544,-2270.544,-2270.544,-0.0930231186136698,break_bbi
105,open_marked,002902,2026-05-26,2026-06-16,21,25200.0,25200.0,1,36.06,36.38,908712.0,916776.0000000001,8064.000000000116,1825.4880000000003,6238.512000000117,6238.512000000117,0.0068583662593647236,open_mark_to_market
106,closed,300693,2026-05-26,2026-05-29,3,500.0,500.0,1,58.88,51.25,29440.0,25625.0,-3815.0,55.065,-3870.065,-3870.065,-0.13132468754072016,break_bbi
107,closed,002491,2026-05-27,2026-05-29,2,1300.0,1300.0,1,21.61,23.93,28093.0,31109.0,3016.0,59.202,2956.7980000000002,2956.7980000000002,0.1051452018596859,take_profit_8
108,closed,002929,2026-05-29,2026-06-03,5,700.0,700.0,1,78.0,68.38,54600.0,47866.0,-6734.0,102.46600000000001,-6836.466,-6836.466,-0.1250849150849151,break_bbi
109,closed,300323,2026-06-02,2026-06-03,1,100.0,100.0,1,15.31,16.56,1531.0,1655.9999999999998,124.99999999999977,3.1870000000000003,121.81299999999976,121.81299999999976,0.07948485218243531,take_profit_8
110,open_marked,000811,2026-06-03,2026-06-16,13,1500.0,1500.0,1,31.63,33.2,47445.0,49800.00000000001,2355.0000000000073,97.245,2257.755000000007,2257.755000000007,0.04753924545261898,open_mark_to_market
111,closed,002693,2026-06-04,2026-06-05,1,300.0,300.0,1,9.33,9.26,2799.0,2778.0,-21.0,5.577,-26.576999999999998,-26.576999999999998,-0.00948569115771688,break_bbi
112,closed,300739,2026-06-05,2026-06-08,3,26300.0,26300.0,1,29.23,27.33,768749.0,718779.0,-49970.0,1487.528,-51457.528000000006,-51457.528000000006,-0.06686983902173776,break_bbi
113,closed,002706,2026-06-08,2026-06-10,2,60200.0,60200.0,1,12.27,11.56,738654.0,695912.0,-42742.0,1434.566,-44176.566,-44176.566,-0.05974709886690327,break_bbi
114,closed,300959,2026-06-10,2026-06-15,5,4100.0,4100.0,1,168.5,182.0,690850.0,746200.0,55350.0,1437.0500000000002,53912.950000000004,53912.950000000004,0.0779606150526032,take_profit_8
115,open_marked,600172,2026-06-10,2026-06-16,6,300.0,300.0,1,12.75,12.9,3825.0,3870.0,45.0,7.695,37.305,37.305,0.009743197978492097,open_mark_to_market
116,open_marked,300179,2026-06-16,2026-06-16,0,17300.0,17300.0,1,43.01,44.14,744073.0,763622.0,19549.0,1507.6950000000002,18041.305,18041.305,0.02422246435266663,open_mark_to_market
