strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,kind,top_n,momentum_window,volatility_window,interval_days,cost_rate
ram_top2_m20_v120_f21_cost,0.2655212989652713,0.07601212444632255,0.13704283375866758,-0.13488713884666348,0.5546596079600915,0.5635238844581865,0.6276650493822918,40.322649198404605,32.0,0.04032264919840461,ram_topn,2,20,120,21,0.001
ram_top2_m60_v120_f10_cost,0.31174625917548116,0.08808893253947647,0.14731603366530374,-0.15663035563537875,0.5979588938676633,0.5624001310738227,0.6622435037061654,34.65966296134324,67.0,0.034659662961343235,ram_topn,2,60,120,10,0.001
ram_top1_m60_v120_f10_cost,0.4143683495447774,0.11388838593977013,0.18923395118370742,-0.20282124692610526,0.6018390739471895,0.5615209829632078,0.6473834054637975,37.0,19.0,0.037,ram_topn,1,60,120,10,0.001
ram_top2_m180_v60_f63_cost,0.33499446802406485,0.09405223105775229,0.1283854818446155,-0.17187005399758792,0.7325768436308349,0.5472287281591954,0.8122973811565658,11.058575692592454,11.0,0.011058575692592455,ram_topn,2,180,60,63,0.001
ram_top1_m180_v20_f10_cost,0.32645212543720925,0.09186944739329284,0.16320264496198053,-0.1692236247446337,0.5629164123822541,0.5428878357376405,0.5622714013762079,51.0,26.0,0.051000000000000004,ram_topn,1,180,20,10,0.001
ram_top2_m180_v20_f21_cost,0.30951261169093636,0.08751216659830008,0.11108869157028473,-0.16164982356679392,0.7877684520474525,0.5413687727419012,0.8737930551667371,21.973800280828492,31.0,0.02197380028082849,ram_topn,2,180,20,21,0.001
ram_top2_m20_v60_f21_cost,0.25328102513417305,0.072763446083838,0.13962329438058427,-0.13614481820215452,0.5211411634902402,0.5344562286299818,0.6070647033650081,42.27373579930609,34.0,0.042273735799306086,ram_topn,2,20,60,21,0.001
ram_top3_m20_v20_f21_cost,0.29459612255601697,0.08364299336160319,0.12747237541305656,-0.15750173525621047,0.6561656444431169,0.5310607735561761,0.7603374567225986,43.563573323927436,37.0,0.043563573323927435,ram_topn,3,20,20,21,0.001
ram_top1_m60_v60_f42_cost,0.27183141377377895,0.07767843541889174,0.16840575377069572,-0.147713131834047,0.4612576095509188,0.5258735933252167,0.5392168293968342,29.0,15.0,0.029,ram_topn,1,60,60,42,0.001
ram_top1_m20_v20_f10_cost,0.4171964128107015,0.11458083034906186,0.2115435258554418,-0.22075952316177883,0.5416418672503389,0.51903006813932,0.6161855949057153,83.0,42.0,0.083,ram_topn,1,20,20,10,0.001
ram_top1_m20_v60_f42_cost,0.2572093634313104,0.07380843478799037,0.13248739546040472,-0.1437598809304137,0.5570977867856781,0.5134146905958903,0.6060555719249177,25.0,13.0,0.025,ram_topn,1,20,60,42,0.001
ram_top3_m20_v20_f63_cost,0.24789121795897762,0.0713260096187518,0.1227949058801441,-0.1429337931713207,0.5808547928557449,0.499014320100358,0.6684895802005933,14.994479283661086,12.0,0.014994479283661086,ram_topn,3,20,20,63,0.001
ram_top3_m120_v20_f10_cost,0.222360003252009,0.0644582162564844,0.12353312927714219,-0.13348446481041087,0.5217889049979029,0.48288927365469053,0.554056373511305,27.949052087206443,71.0,0.027949052087206442,ram_topn,3,120,20,10,0.001
ram_top2_m180_v120_f42_cost,0.2544666004902769,0.07307906187981783,0.11378577530580729,-0.15595711151224378,0.6422512979624448,0.46858435098729423,0.7020357419946622,13.238955972844156,16.0,0.013238955972844156,ram_topn,2,180,120,42,0.001
ram_top1_m60_v20_f10_cost,0.24550620753161767,0.07068857324743938,0.15882836783178914,-0.15339327675145165,0.44506264348383756,0.46083227860096165,0.5005528732441491,51.0,26.0,0.051000000000000004,ram_topn,1,60,20,10,0.001
ram_top2_m180_v60_f42_cost,0.248155237450012,0.0713965219032251,0.11453510460571067,-0.1550923589748866,0.6233592936332403,0.4603484167442834,0.6769933493752188,13.587885443469077,16.0,0.013587885443469077,ram_topn,2,180,60,42,0.001
ram_top2_m60_v120_f21_cost,0.218243422165475,0.06334164581134516,0.12948574714165154,-0.13773715773529893,0.48917851740124163,0.45987333304114003,0.5646056970130031,26.201349253369653,34.0,0.026201349253369654,ram_topn,2,60,120,21,0.001
ram_top3_m120_v60_f10_cost,0.21488288832438096,0.06242821504635243,0.12534798664028413,-0.1362642904330037,0.4980392323771825,0.4581406826981289,0.5235020620751395,26.528771261271537,71.0,0.02652877126127154,ram_topn,3,120,60,10,0.001
ram_top2_m180_v20_f63_cost,0.26647413689001875,0.0762641065318197,0.12460620418286615,-0.16783067677948937,0.612041005758414,0.45441100515862276,0.67535272324054,10.961896056953163,11.0,0.010961896056953163,ram_topn,2,180,20,63,0.001
ram_top3_m120_v120_f63_cost,0.21194312071692534,0.06162772483884771,0.11675031653495024,-0.14141498610550784,0.5278591670490153,0.4357934511471654,0.5976499920337409,11.853041256832926,12.0,0.011853041256832926,ram_topn,3,120,120,63,0.001
ram_top1_m180_v60_f10_cost,0.2696998229458685,0.07711618487069938,0.172479998919514,-0.1770888251995827,0.4471021878118451,0.43546612714714145,0.4427176429820197,41.0,21.0,0.041,ram_topn,1,180,60,10,0.001
ram_top3_m120_v60_f63_cost,0.2150508824842916,0.062473919045475945,0.11798751403383353,-0.14563276608531595,0.5294960196174759,0.4289825753146575,0.5928660507745713,12.060288678109258,12.0,0.012060288678109259,ram_topn,3,120,60,63,0.001
ram_top2_m180_v20_f42_cost,0.21879867314566082,0.06349240209949114,0.11730901139354687,-0.1517231020448201,0.5412406203517272,0.4184755073142061,0.5828836401810783,13.683912125362685,16.0,0.013683912125362685,ram_topn,2,180,20,42,0.001
ram_top2_m20_v20_f21_cost,0.2154615395108539,0.06258562286976654,0.13693416797268712,-0.1539613122808824,0.4570489878190947,0.40650226958047236,0.5420631400173728,46.0063059570798,37.0,0.0460063059570798,ram_topn,2,20,20,21,0.001
ram_top1_m180_v120_f63_cost,0.4020258372877612,0.11085513659835367,0.19045584939760443,-0.29647611487597214,0.5820516248200251,0.37390916514380534,0.574370961659841,13.0,7.0,0.013000000000000001,ram_topn,1,180,120,63,0.001
ram_top3_m120_v20_f63_cost,0.17792897187125067,0.05226698205660196,0.12063201645764934,-0.14528695478567477,0.4332762030464068,0.3597500004987059,0.4836750013699718,12.989027038938309,12.0,0.01298902703893831,ram_topn,3,120,20,63,0.001
ram_top1_m60_v20_f21_cost,0.19247572022963322,0.05629275970770409,0.14848362213105598,-0.16576079276662148,0.3791176353309758,0.33960237983996605,0.4579260232079848,35.0,18.0,0.035,ram_topn,1,60,20,21,0.001
ram_top1_m60_v60_f10_cost,0.2429493969376284,0.07000428563156436,0.19248403134615355,-0.2083649525478578,0.3636887961145836,0.33596958017920786,0.3905501628564475,47.0,24.0,0.047,ram_topn,1,60,60,10,0.001
ram_top2_m120_v60_f10_cost,0.16613302545167152,0.04897726105879752,0.1421708335247921,-0.14590850265545896,0.3444958423927137,0.3356710552670804,0.36322939981273505,35.2658066262931,71.0,0.0352658066262931,ram_topn,2,120,60,10,0.001
