strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,kind,top_n,momentum_window,volatility_window,interval_days,cost_rate
ram_top3_m20_v60_f42_cost,0.02891258417661735,0.0054686804583268245,0.16115674121831938,-0.31760253938129945,0.033933923067595365,0.01721862951404608,0.02731494034310565,41.768966466585546,32.0,0.041768966466585546,ram_topn,3,20,60,42,0.001
ram_top2_m180_v120_f63_cost,0.038609953665977415,0.0072750641782870495,0.21198261784687605,-0.43294273601842315,0.03431915433529618,0.016803756185384922,0.025190584712749795,13.956049054404641,21.0,0.01395604905440464,ram_topn,2,180,120,63,0.001
ram_top2_m180_v120_f42_cost,0.03007389538412175,0.0056857282382607455,0.1856273564333144,-0.3749306226129737,0.030629796962622326,0.015164747543520608,0.02363083635362608,19.414972132740534,32.0,0.019414972132740533,ram_topn,2,180,120,42,0.001
ram_top2_m180_v120_f21_cost,0.01990450369046748,0.0037783179162744762,0.18993928907555238,-0.41581776210015264,0.019892239960799106,0.009086475520409447,0.015318339147334352,23.377198318178333,62.0,0.023377198318178333,ram_topn,2,180,120,21,0.001
ram_top3_m20_v20_f42_cost,0.010725384713142772,0.0020433950592999572,0.16320238681258326,-0.362567047525989,0.012520619944403944,0.005635909477276711,0.010039735393367924,40.89473868808249,32.0,0.040894738688082494,ram_topn,3,20,20,42,0.001
ram_top2_m120_v60_f42_cost,0.012701293847361184,0.0024179297735393845,0.22830403866625135,-0.4732702468850527,0.010590832241360655,0.005108983270031443,0.007867763366049857,24.477844058902544,31.0,0.024477844058902545,ram_topn,2,120,60,42,0.001
ram_top3_m20_v120_f42_cost,0.005604461745109202,0.0010699580457320668,0.17358790948027777,-0.35449751810290364,0.0061637820798437016,0.003018238467388872,0.00484631425010641,41.564326219476015,32.0,0.04156432621947602,ram_topn,3,20,120,42,0.001
ram_top3_m120_v60_f42_cost,0.0033393737691744807,0.0006381080081518942,0.22240240201883904,-0.4641309386917031,0.0028691596959363862,0.001374844801233461,0.002091912694134424,19.716327476910678,31.0,0.01971632747691068,ram_topn,3,120,60,42,0.001
ram_top3_m60_v120_f21_cost,-0.0023039260322694766,-0.0004412535731717071,0.18368174117235855,-0.40990101542812496,-0.002402272378056646,-0.001076488119237362,-0.0019422851232183305,45.22420645981572,63.0,0.045224206459815716,ram_topn,3,60,120,21,0.001
ram_top3_m120_v120_f42_cost,-0.06116605909943362,-0.012004358128071213,0.23695272810294019,-0.506228479326049,-0.05066140501600859,-0.023713320404361346,-0.036268999317295506,18.531670712904653,31.0,0.018531670712904652,ram_topn,3,120,120,42,0.001
ram_top2_m60_v60_f21_cost,-0.05065848920044602,-0.009898026519801761,0.1862362666002009,-0.39917167057240843,-0.05314768546692443,-0.024796415300735355,-0.043564814419704063,51.73007564709026,63.0,0.051730075647090264,ram_topn,2,60,60,21,0.001
ram_top1_m60_v20_f10_cost,-0.044988460575100864,-0.008769241591693788,0.16538773319011946,-0.30093572301818516,-0.05302232168339361,-0.029139915672835803,-0.055445603988017775,105.0,53.0,0.105,ram_topn,1,60,20,10,0.001
